timestamp,total
"20180605_1814",3309
"20180605_1815",3322
"20180605_1816",3248
"20180605_1817",3152
"20180605_1818",3319
"20180605_1819",3113
"20180605_1820",3299
"20180605_1821",3220
"20180605_1822",3210
"20180605_1823",3274
"20180605_1824",3173
"20180605_1825",3082
"20180605_1826",3154
"20180605_1827",3125
"20180605_1828",3086
"20180605_1829",3196
"20180605_1830",3218
"20180605_1831",3122
"20180605_1832",3101
"20180605_1833",3057
"20180605_1834",3159
"20180605_1835",3089
"20180605_1836",3087
"20180605_1837",2989
"20180605_1838",3103
"20180605_1839",3094
"20180605_1840",3055
"20180605_1841",3095
"20180605_1842",3112
"20180605_1843",2920
"20180605_1844",3052
"20180605_1845",2973
"20180605_1846",3025
"20180605_1847",3037
"20180605_1848",2972
"20180605_1849",3095
"20180605_1850",3125
"20180605_1851",3043
"20180605_1852",3050
"20180605_1853",2901
"20180605_1854",3059
"20180605_1855",3042
"20180605_1856",2852
"20180605_1857",2936
"20180605_1858",2918
"20180605_1859",3020
"20180605_1900",2865
"20180605_1901",3019
"20180605_1902",2929
"20180605_1903",2799
"20180605_1904",2888
"20180605_1905",2937
"20180605_1906",2917
"20180605_1907",2858
"20180605_1908",2827
"20180605_1909",2835
"20180605_1910",2867
"20180605_1911",2759
"20180605_1912",2735
"20180605_1913",2766
"20180605_1914",2735
"20180605_1915",2798
"20180605_1916",2731
"20180605_1917",2676
"20180605_1918",2506
"20180605_1919",2665
"20180605_1920",2667
"20180605_1921",2626
"20180605_1922",2480
"20180605_1923",2544
"20180605_1924",2588
"20180605_1925",2498
"20180605_1926",2574
"20180605_1927",2468
"20180605_1928",2595
"20180605_1929",2494
"20180605_1930",2553
"20180605_1931",2432
"20180605_1932",2501
"20180605_1933",2516
"20180605_1934",2534
"20180605_1935",2414
"20180605_1936",2420
"20180605_1937",2374
"20180605_1938",2434
"20180605_1939",2327
"20180605_1940",2459
"20180605_1941",2477
"20180605_1942",2401
"20180605_1943",2446
"20180605_1944",2335
"20180605_1945",2364
"20180605_1946",2387
"20180605_1947",2384
"20180605_1948",2347
"20180605_1949",2382
"20180605_1950",2379
"20180605_1951",2272
"20180605_1952",2335
"20180605_1953",2379
"20180605_1954",2354
"20180605_1955",2325
"20180605_1956",2308
"20180605_1957",2235
"20180605_1958",2320
"20180605_1959",2258
"20180605_2000",2250
"20180605_2001",2275
"20180605_2002",2246
"20180605_2003",2362
"20180605_2004",2264
"20180605_2005",2369
"20180605_2006",2357
"20180605_2007",2296
"20180605_2008",2311
"20180605_2009",2327
"20180605_2010",2239
"20180605_2011",2217
"20180605_2012",2228
"20180605_2013",2191
"20180605_2014",2217
"20180605_2015",2228
"20180605_2016",2191
"20180605_2017",2194
"20180605_2018",2138
"20180605_2019",2204
"20180605_2020",2174
"20180605_2021",2168
"20180605_2022",2148
"20180605_2023",2091
"20180605_2024",2247
"20180605_2025",2189
"20180605_2026",2174
"20180605_2027",2131
"20180605_2028",2277
"20180605_2029",2190
"20180605_2030",2083
"20180605_2031",2162
"20180605_2032",2174
"20180605_2033",2175
"20180605_2034",2200
"20180605_2035",2154
"20180605_2036",2218
"20180605_2037",2196
"20180605_2038",2307
"20180605_2039",2153
"20180605_2040",2082
"20180605_2041",2175
"20180605_2042",2126
"20180605_2043",2132
"20180605_2044",2112
"20180605_2045",2160
"20180605_2046",2127
"20180605_2047",2139
"20180605_2048",1989
"20180605_2049",2219
"20180605_2050",2108
"20180605_2051",2082
"20180605_2052",2088
"20180605_2053",2019
"20180605_2054",2023
"20180605_2055",1999
"20180605_2056",1923
"20180605_2057",2026
"20180605_2058",1982
"20180605_2059",2022
"20180605_2100",1968
"20180605_2101",1978
"20180605_2102",1943
"20180605_2103",1819
"20180605_2104",1899
"20180605_2105",1932
"20180605_2106",1847
"20180605_2107",1881
"20180605_2108",1892
"20180605_2109",1727
"20180605_2110",1989
"20180605_2111",1833
"20180605_2112",1820
"20180605_2113",1824
"20180605_2114",1758
"20180605_2115",1835
"20180605_2116",1709
"20180605_2117",1757
"20180605_2118",1786
"20180605_2119",1699
"20180605_2120",1736
"20180605_2121",1692
"20180605_2122",1658
"20180605_2123",1713
"20180605_2124",1713
"20180605_2125",1698
"20180605_2126",1652
"20180605_2127",1607
"20180605_2128",1691
"20180605_2129",1570
"20180605_2130",1579
"20180605_2131",1622
"20180605_2132",1544
"20180605_2133",1627
"20180605_2134",1498
"20180605_2135",1624
"20180605_2136",1591
"20180605_2137",1604
"20180605_2138",1519
"20180605_2139",1582
"20180605_2140",1502
"20180605_2141",1483
"20180605_2142",1429
"20180605_2143",1559
"20180605_2144",1535
"20180605_2145",1528
"20180605_2146",1519
"20180605_2147",1483
"20180605_2148",1472
"20180605_2149",1458
"20180605_2150",1452
"20180605_2151",1386
"20180605_2152",1421
